Age,Years_at_Company,Job_Satisfaction,Tasks_Per_Hour,Tasks_Per_Meeting,Overtime_Efficiency,Total_Work_Hours,Meeting_Burden,Overtime_Ratio,Job_Level_Numeric,Age_Experience_Ratio,Seniority_Score,Work_Life_Score,Satisfaction_Balance,Dept_HR,Dept_IT,Dept_Marketing,Dept_Operations,Dept_Sales,Remote_No,Remote_Yes,WLB_Excellent,WLB_Good,WLB_Poor
45,29,5,0.7776913676258194,3.5,3.5,202,0.8880994671403198,0.019801980198019802,2,1.5,58,3.0,15.0,False,False,True,False,False,True,False,False,True,False
38,7,1,0.42032326680337784,0.21428571428571427,0.2727272727272727,197,14.556929811167098,0.2484472049689441,2,4.75,14,3.0,4.0,False,False,True,False,False,False,True,True,False,False
53,8,4,2.2599334346879236,5.0,1.25,190,2.4080560420315233,0.29333333333333333,2,5.888888888888889,16,3.0,4.0,False,False,False,False,True,True,False,False,False,True
46,4,5,0.9898911119776824,1.8,5.416666666666666,200,3.516905123491328,0.0,2,9.080459770114944,8,3.0,5.0,False,False,False,False,False,True,False,False,False,True
28,5,7,1.0257898063433184,0.75,1.2857142857142858,217,10.02194889634323,0.1218274111675127,4,4.666666666666667,20,3.0,7.0,False,False,False,False,False,False,False,False,False,True
41,17,2,2.270645456773877,1.6,1.0666666666666667,211,10.207764087229984,0.3522012578616352,2,2.2777777777777777,34,3.0,9.0,False,False,False,False,True,False,True,False,False,False
50,6,6,2.4834303591298315,1.0,2.3333333333333335,144,18.42546063651591,0.15625,1,7.142857142857143,6,3.0,18.0,False,False,True,False,False,False,False,False,True,False
40,29,4,1.0351601557445507,1.1428571428571428,0.6153846153846154,218,6.205340353516359,0.27586206896551724,4,1.3333333333333333,97,3.0,9.0,False,False,False,False,False,True,False,False,False,False
32,29,9,0.5268766988779922,0.3333333333333333,1.0,179,11.580609656888548,0.07017543859649122,1,1.0666666666666667,29,3.0,18.0,False,False,True,False,False,True,False,True,False,False
54,28,6,1.6572845187711438,3.6666666666666665,0.7857142857142857,198,2.4080560420315233,0.3466666666666667,2,1.8620689655172413,56,3.0,6.0,False,True,False,False,False,False,True,False,False,True
36,1,7,0.37074069497028456,3.0,0.6,194,0.0,0.08791208791208792,3,9.080459770114944,3,3.0,18.0,False,False,False,False,True,True,False,False,True,False
